0000000177,0000351824,-54,246,-181,4,37,123,-148,-2
0000000178,0000353823,-182,242,-41,2,-56,157,-90,1
0000000179,0000355822,-243,144,110,-1,-127,130,5,2
0000000180,0000357821,-214,-14,223,-3,-151,57,95,4
0000000181,0000359820,-96,-159,247,-3,-115,-42,151,3
0000000182,0000361819,53,-245,182,-4,-37,-122,149,2
0000000183,0000363818,181,-241,43,-2,55,-157,93,1
0000000184,0000365817,243,-144,-108,1,127,-132,-3,-1
0000000185,0000367816,216,11,-222,4,150,-57,-95,-1
0000000186,0000369815,97,159,-248,4,116,42,-153,-2
0000000187,0000371814,-51,245,-183,4,38,122,-148,-1
0000000188,0000373813,-181,241,-43,2,-55,157,-92,1
0000000189,0000375812,-242,146,108,0,-126,130,4,2
0000000190,0000377811,-215,-12,221,-2,-151,57,95,3
0000000191,0000379810,-97,-157,247,-4,-116,-41,151,3
0000000192,0000381809,51,-244,184,-4,-39,-122,149,3
0000000193,0000383808,179,-243,45,-2,54,-158,93,1
0000000194,0000385807,242,-146,-106,1,127,-132,-1,-1
0000000195,0000387806,216,9,-220,3,150,-59,-93,-2
0000000196,0000389805,100,157,-248,4,117,41,-153,-1
0000000197,0000391804,-50,245,-184,5,39,122,-149,-1
0000000198,0000393803,-179,243,-45,2,-54,158,-93,0
0000000199,0000395802,-243,148,105,0,-126,131,1,2
0000000200,0000397801,-216,-9,220,-3,-151,59,94,3
0000000201,0000399800,-100,-155,248,-3,-116,-40,151,3
0000000202,0000401799,49,-243,185,-4,-40,-122,149,2
0000000203,0000403798,178,-242,47,-1,53,-158,94,1
0000000204,0000405797,241,-148,-104,1,126,-134,0,-1
0000000205,0000407796,217,7,-219,3,150,-62,-92,-1
0000000206,0000409795,102,155,-249,4,117,39,-152,-2
0000000207,0000411794,-47,244,-186,4,40,121,-150,-1
0000000208,0000413793,-177,243,-48,0,-53,159,-94,-1
0000000209,0000415792,-242,150,103,0,-126,133,0,2
0000000210,0000417791,-217,-7,219,-3,-152,60,93,3
0000000211,0000419790,-103,-155,247,-3,-118,-40,152,3
0000000212,0000421789,46,-242,187,-4,-41,-122,151,2
0000000213,0000423788,175,-242,50,-2,52,-160,96,0
0000000214,0000425787,241,-150,-102,0,126,-135,1,-1
0000000215,0000427786,218,4,-217,3,151,-62,-91,-1
0000000216,0000429785,104,152,-248,4,119,38,-153,-2
0000000217,0000431784,-45,243,-188,4,41,121,-151,-1
0000000218,0000433783,-177,243,-50,2,-52,159,-96,0
0000000219,0000435782,-241,152,100,0,-125,134,0,1
0000000220,0000437781,-218,-5,216,-3,-153,62,92,2
0000000221,0000439780,-105,-150,247,-4,-120,-38,152,3
0000000222,0000441779,44,-242,188,-4,-42,-122,152,2
0000000223,0000443778,174,-243,52,-2,51,-160,98,1
0000000224,0000445777,240,-152,-98,1,125,-137,3,-1
0000000225,0000447776,219,2,-217,2,151,-64,-90,-2
0000000226,0000449775,106,150,-248,4,121,36,-153,-1
0000000227,0000451774,-42,241,-189,4,43,119,-151,-1
0000000228,0000453773,-174,243,-53,2,-51,159,-97,0
0000000229,0000455772,-240,155,98,0,-125,135,-2,2
0000000230,0000457771,-219,-2,217,-3,-153,64,91,4
0000000231,0000459770,-107,-147,248,-3,-120,-36,153,3
0000000232,0000461769,42,-240,189,-4,-45,-121,154,2
0000000233,0000463768,172,-243,56,-2,51,-159,101,1
0000000234,0000465767,239,-155,-96,1,125,-138,3,-1
0000000235,0000467766,220,-3,-214,3,152,-65,-90,-2
0000000236,0000469765,109,147,-247,3,121,36,-153,-2
0000000237,0000471764,-40,240,-192,4,44,120,-155,-1
0000000238,0000473763,-170,244,-55,2,-50,161,-99,1
0000000239,0000475762,-239,156,95,0,-126,137,-2,2
0000000240,0000477761,-220,1,214,-3,-154,65,91,3
0000000241,0000479760,-109,-145,247,-3,-122,-35,153,3
0000000242,0000481759,37,-238,192,-4,-45,-121,155,1
0000000243,0000483758,169,-244,60,-2,50,-162,102,1
0000000244,0000485757,238,-157,-93,0,125,-140,6,-1
0000000245,0000487756,222,-5,-212,3,154,-67,-90,-2
0000000246,0000489755,112,145,-248,4,123,33,-154,-2
0000000247,0000491754,-36,239,-193,6,47,119,-154,0
0000000248,0000493753,-168,245,-59,2,-49,160,-101,0
0000000249,0000495752,-238,160,91,0,-125,138,-4,2
0000000250,0000497751,-221,4,212,-3,-155,67,90,3
0000000251,0000499750,-112,-142,248,-3,-124,-35,154,3
0000000252,0000501749,34,-237,194,-4,-47,-120,156,2
0000000253,0000503748,167,-244,62,-2,49,-162,104,1
0000000254,0000505747,237,-159,-90,1,125,-141,9,-1
0000000255,0000507746,221,-9,-211,3,154,-70,-88,-2
0000000256,0000509745,113,143,-247,4,125,33,-154,-2
0000000257,0000511744,-34,238,-195,4,49,118,-155,-1
0000000258,0000513743,-166,245,-61,2,-47,162,-103,0
0000000259,0000515742,-238,163,89,-1,-124,139,-7,2
0000000260,0000517741,-222,7,210,-2,-156,69,89,4
0000000261,0000519740,-114,-138,247,-3,-125,-32,153,3
0000000262,0000521739,32,-236,195,-4,-49,-119,157,2
0000000263,0000523738,164,-244,64,-2,47,-162,105,1
0000000264,0000525737,237,-161,-88,-1,124,-142,10,-2
0000000265,0000527736,224,-11,-209,3,155,-71,-86,-2
0000000266,0000529735,117,139,-248,4,125,31,-153,-2
0000000267,0000531734,-31,237,-197,4,50,117,-156,-1
0000000268,0000533733,-165,245,-64,2,-46,161,-104,0
0000000269,0000535732,-237,165,86,0,-123,141,-8,2
0000000270,0000537731,-224,10,208,-2,-157,71,87,3
0000000271,0000539730,-117,-136,248,-3,-126,-31,154,3
0000000272,0000541729,30,-234,197,-3,-51,-118,158,2
0000000273,0000543728,162,-244,66,-2,45,-162,107,0
0000000274,0000545727,238,-164,-85,1,124,-143,12,-1
0000000275,0000547726,223,-14,-209,2,155,-73,-85,-2
0000000276,0000549725,119,137,-248,4,127,30,-152,-2
0000000277,0000551724,-29,236,-198,4,52,117,-157,-2
0000000278,0000553723,-162,245,-66,2,-44,161,-107,0
0000000279,0000555722,-237,167,83,-1,-122,142,-11,1
0000000280,0000557721,-223,12,208,-2,-156,73,86,3
0000000281,0000559720,-119,-134,247,-3,-128,-30,152,4
0000000282,0000561719,28,-233,199,-4,-52,-117,159,3
0000000283,0000563718,161,-246,69,-2,43,-163,110,1
0000000284,0000565717,236,-164,-82,1,122,-143,14,0
0000000285,0000567716,224,-16,-207,3,155,-75,-84,-2
0000000286,0000569715,121,134,-247,4,128,28,-151,-2
0000000287,0000571714,-26,235,-200,6,54,116,-157,-2
0000000288,0000573713,-160,246,-71,2,-43,162,-106,0
0000000289,0000575712,-236,169,81,-1,-121,143,-13,2
0000000290,0000577711,-225,15,206,-2,-157,74,84,2
0000000291,0000579710,-121,-131,247,-3,-127,-29,152,3
0000000292,0000581709,25,-232,200,-4,-54,-117,159,2
0000000293,0000583708,159,-246,71,-2,43,-163,111,1
0000000294,0000585707,235,-168,-79,0,121,-145,16,0
0000000295,0000587706,225,-19,-205,3,156,-77,-82,-1
0000000296,0000589705,122,132,-247,4,129,26,-151,-2
0000000297,0000591704,-24,234,-202,4,56,115,-159,-1
0000000298,0000593703,-158,246,-71,2,-41,162,-110,1
0000000299,0000595702,-235,171,78,-1,-120,144,-15,2
0000000300,0000597701,-225,18,204,-2,-157,76,83,2
0000000301,0000599700,-124,-129,247,-4,-129,-25,151,3
0000000302,0000601699,23,-231,202,-4,-56,-116,160,2
0000000303,0000603698,157,-246,74,-2,40,-163,112,1
0000000304,0000605697,234,-170,-77,0,120,-146,17,0
0000000305,0000607696,226,-22,-203,3,156,-78,-81,-2
0000000306,0000609695,126,130,-249,4,130,25,-151,-2
0000000307,0000611694,-22,233,-203,4,57,113,-159,-1
0000000308,0000613693,-156,247,-74,2,-40,162,-111,0
0000000309,0000615692,-236,173,76,-1,-119,145,-16,1
0000000310,0000617691,-226,21,203,-2,-157,78,82,1
0000000311,0000619690,-126,-127,247,-4,-132,-24,150,3
0000000312,0000621689,21,-230,203,-4,-58,-115,160,2
0000000313,0000623688,155,-249,77,-2,39,-164,113,2
0000000314,0000625687,233,-172,-75,0,119,-148,19,-1
0000000315,0000627686,227,-24,-201,3,156,-81,-80,-1
0000000316,0000629685,128,127,-247,3,131,23,-151,-2
0000000317,0000631684,-20,232,-205,4,58,113,-161,-1
0000000318,0000633683,-154,247,-77,2,-38,162,-112,0
0000000319,0000635682,-233,175,73,-1,-119,147,-18,2
0000000320,0000637681,-227,24,201,-2,-158,80,81,2
0000000321,0000639680,-129,-124,247,-4,-131,-22,150,3
0000000322,0000641679,18,-229,205,-4,-59,-113,162,2
0000000323,0000643678,153,-248,79,-2,38,-163,115,1
0000000324,0000645677,233,-174,-71,1,120,-149,21,0
0000000325,0000647676,228,-27,-201,3,156,-82,-80,-2
0000000326,0000649675,130,126,-247,4,132,21,-150,-2
0000000327,0000651674,-17,231,-207,4,60,112,-161,-3
0000000328,0000653673,-152,248,-78,2,-37,162,-114,0
0000000329,0000655672,-233,177,70,-1,-119,147,-20,1
0000000330,0000657671,-227,27,198,-2,-158,80,80,3
0000000331,0000659670,-130,-122,247,-5,-133,-21,150,3
0000000332,0000661669,14,-228,207,-4,-61,-112,163,2
0000000333,0000663668,151,-248,81,-3,36,-163,116,0
0000000334,0000665667,233,-176,-69,1,119,-149,23,0
0000000335,0000667666,228,-30,-197,3,157,-84,-77,-2
0000000336,0000669665,132,122,-247,4,133,20,-150,-2
0000000337,0000671664,-15,231,-208,5,63,111,-161,-1
0000000338,0000673663,-149,248,-81,2,-35,162,-116,0
0000000339,0000675662,-233,179,68,0,-118,148,-22,2
0000000340,0000677661,-228,29,198,-1,-158,83,78,3
0000000341,0000679660,-133,-119,247,-4,-134,-20,150,3
0000000342,0000681659,13,-227,208,-4,-63,-112,163,2
0000000343,0000683658,149,-248,84,-2,35,-163,119,1
0000000344,0000685657,232,-178,-68,1,117,-151,25,0
0000000345,0000687656,229,-32,-197,4,157,-85,-76,-1
0000000346,0000689655,134,120,-247,4,135,18,-148,-2
0000000347,0000691654,-12,230,-209,5,64,110,-162,-2
0000000348,0000693653,-148,249,-84,2,-34,163,-117,-1
0000000349,0000695652,-233,181,66,-1,-115,150,-24,1
0000000350,0000697651,-229,32,196,-2,-158,84,77,2
0000000351,0000699650,-135,-117,247,-5,-136,-18,150,4
0000000352,0000701649,11,-226,209,-4,-65,-111,164,4
0000000353,0000703648,147,-249,86,-2,33,-163,120,2
0000000354,0000705647,232,-180,-65,0,116,-152,27,0
0000000355,0000707646,231,-34,-195,2,157,-86,-74,-2
0000000356,0000709645,136,118,-246,4,136,17,-148,-1
0000000357,0000711644,-10,229,-210,5,66,109,-163,-1
0000000358,0000713643,-147,249,-86,3,-33,162,-118,0
0000000359,0000715642,-232,183,64,-1,-116,152,-25,1
0000000360,0000717641,-229,34,195,-1,-158,86,76,3
0000000361,0000719640,-135,-115,247,-5,-136,-16,150,3
0000000362,0000721639,9,-225,211,-2,-66,-110,165,4
0000000363,0000723638,146,-249,88,-2,32,-164,121,1
0000000364,0000725637,231,-182,-62,0,116,-152,28,0
0000000365,0000727636,230,-36,-193,3,157,-88,-74,-2
0000000366,0000729635,138,116,-247,4,136,15,-148,-3
0000000367,0000731634,-10,233,-215,4,69,106,-164,-2
0000000368,0000733633,-150,253,-87,3,-25,157,-120,0
0000000369,0000735632,-234,184,66,-1,-106,147,-29,1
0000000370,0000737631,-232,34,196,-1,-151,87,68,2
0000000371,0000739630,-137,-116,249,-5,-130,-12,140,3
0000000372,0000741629,11,-229,213,-4,-64,-102,157,2
0000000373,0000743628,149,-253,87,-2,28,-155,116,1
0000000374,0000745627,235,-184,-64,1,108,-146,29,0
0000000375,0000747626,234,-36,-197,3,148,-86,-67,-1
0000000376,0000749625,139,118,-251,4,131,11,-140,-2
0000000377,0000751624,-10,231,-214,4,65,101,-155,-1
0000000378,0000753623,-148,252,-88,2,-28,154,-115,0
0000000379,0000755622,-236,186,64,-1,-108,146,-27,2
0000000380,0000757621,-233,35,197,-1,-152,86,70,1
0000000381,0000759620,-140,-115,250,-4,-132,-12,140,3
0000000382,0000761619,8,-229,214,-4,-66,-102,158,2
0000000383,0000763618,147,-253,90,-2,28,-156,117,1
0000000384,0000765617,233,-185,-63,0,108,-148,29,0
0000000385,0000767616,234,-37,-196,2,150,-87,-68,-3
0000000386,0000769615,141,117,-251,4,131,11,-140,-2
0000000387,0000771614,-8,232,-217,4,66,101,-156,-1
0000000388,0000773613,-146,253,-90,2,-28,153,-116,0
0000000389,0000775612,-236,188,63,-1,-109,147,-28,1
0000000390,0000777611,-235,37,195,0,-153,87,69,2
0000000391,0000779610,-143,-114,251,-4,-133,-11,142,3
0000000392,0000781609,6,-228,215,-4,-67,-102,160,2
0000000393,0000783608,146,-254,92,-3,27,-156,118,0
0000000394,0000785607,234,-187,-61,0,109,-148,30,-2
0000000395,0000787606,235,-40,-196,2,152,-88,-67,-1
0000000396,0000789605,144,115,-251,3,133,10,-140,-2
0000000397,0000791604,-5,231,-217,6,68,100,-157,-1
0000000398,0000793603,-145,254,-91,3,-27,155,-117,0
0000000399,0000795602,-235,189,60,-1,-108,147,-29,1
0000000400,0000797601,-234,39,194,-1,-153,88,69,2
0000000401,0000799600,-144,-113,250,-5,-134,-10,141,3
0000000402,0000801599,4,-228,217,-4,-68,-102,159,2
0000000403,0000803598,145,-254,94,-2,26,-156,120,1
0000000404,0000805597,235,-188,-62,0,108,-149,31,-1
0000000405,0000807596,236,-42,-194,2,151,-90,-66,-2
0000000406,0000809595,145,114,-251,4,133,9,-140,-2
0000000407,0000811594,-5,231,-218,4,68,100,-158,-1
0000000408,0000813593,-145,254,-93,2,-26,154,-119,-2
0000000409,0000815592,-235,190,59,-1,-108,148,-31,1
0000000410,0000817591,-236,41,192,-1,-153,88,68,2
0000000411,0000819590,-145,-111,251,-5,-135,-11,141,3
0000000412,0000821589,3,-227,218,-4,-70,-101,161,2
0000000413,0000823588,143,-254,95,-2,25,-156,120,1
0000000414,0000825587,235,-190,-58,0,108,-150,34,-1
0000000415,0000827586,236,-43,-193,3,152,-90,-65,-1
0000000416,0000829585,147,113,-251,4,134,8,-140,-2
0000000417,0000831584,-2,228,-219,4,70,99,-158,-1
0000000418,0000833583,-143,255,-96,2,-25,155,-120,-2
0000000419,0000835582,-236,192,58,-1,-108,148,-33,1
0000000420,0000837581,-236,43,193,-2,-153,90,67,2
0000000421,0000839580,-146,-110,250,-5,-135,-8,141,3
0000000422,0000841579,2,-227,218,-4,-71,-101,161,2
0000000423,0000843578,142,-256,96,-2,24,-157,121,1
0000000424,0000845577,234,-191,-56,1,108,-150,35,0
0000000425,0000847576,237,-45,-192,3,152,-91,-64,-1
0000000426,0000849575,148,111,-251,4,135,7,-139,-2
0000000427,0000851574,-1,229,-220,5,71,99,-160,-2
0000000428,0000853573,-142,255,-97,2,-24,155,-121,-1
0000000429,0000855572,-235,193,56,-1,-107,149,-33,1
0000000430,0000857571,-238,44,192,-1,-154,91,66,2
0000000431,0000859570,-148,-109,251,-5,-136,-7,140,2
0000000432,0000861569,0,-226,220,-4,-70,-100,162,3
0000000433,0000863568,142,-255,97,-2,24,-157,123,2
0000000434,0000865567,234,-192,-56,0,107,-152,36,0
0000000435,0000867566,237,-47,-192,2,152,-93,-64,-2
0000000436,0000869565,148,110,-252,5,135,7,-139,-2
0000000437,0000871564,0,229,-221,3,72,99,-159,-2
0000000438,0000873563,-141,255,-98,2,-23,155,-121,0
0000000439,0000875562,-236,195,55,-1,-107,150,-34,1
0000000440,0000877561,-237,46,191,-1,-153,92,66,2
0000000441,0000879560,-149,-108,252,-5,-135,-6,140,3
0000000442,0000881559,0,-226,221,-4,-72,-100,162,1
0000000443,0000883558,141,-255,99,-2,23,-157,123,1
0000000444,0000885557,234,-194,-53,0,106,-152,38,0
0000000445,0000887556,238,-48,-191,3,152,-93,-63,-1
0000000446,0000889555,151,109,-252,4,136,5,-139,-1
0000000447,0000891554,2,229,-222,4,73,98,-159,-2
0000000448,0000893553,-141,256,-99,2,-22,155,-122,1
0000000449,0000895552,-235,196,54,-1,-106,151,-35,1
0000000450,0000897551,-238,47,191,-1,-153,93,65,2
0000000451,0000899550,-150,-107,252,-5,-136,-4,140,3
0000000452,0000901549,-2,-226,222,-4,-73,-100,162,2
0000000453,0000903548,141,-256,101,-2,23,-156,124,1
0000000454,0000905547,235,-195,-53,0,106,-153,38,0
0000000455,0000907546,239,-49,-191,2,152,-94,-63,-1
0000000456,0000909545,151,108,-252,4,136,4,-138,-3
0000000457,0000911544,2,230,-223,4,74,98,-160,-1
0000000458,0000913543,-140,257,-100,3,-22,156,-122,0
0000000459,0000915542,-235,197,54,0,-105,152,-35,1
0000000460,0000917541,-238,48,190,-1,-153,94,65,3
0000000461,0000919540,-151,-106,252,-5,-137,-5,141,2
0000000462,0000921539,-3,-227,222,-5,-74,-99,162,1
0000000463,0000923538,139,-256,102,-3,22,-157,125,1
0000000464,0000925537,234,-196,-52,0,106,-153,38,0
0000000465,0000927536,239,-50,-190,2,153,-95,-62,-2
0000000466,0000929535,153,107,-252,5,137,4,-139,-1
0000000467,0000931534,4,229,-223,4,74,97,-160,-1
0000000468,0000933533,-140,257,-101,2,-22,155,-123,0
0000000469,0000935532,-235,198,52,0,-106,153,-36,1
0000000470,0000937531,-240,50,189,-1,-154,94,64,2
